El señor MONTESINOS TORRES.—	 Pero, naturalmente, y entonces en qué me amparo. Ahora, claro, la medida cautelar es evitar eso,  ahora el proceso sigue, sigue el proceso pero, bueno, en todo ese proceso te vamos a dar todo el apoyo como decía ya José Francisco para que salgas gloriosa ...
La señora VALCÁRCEL, Gisela.—	 Muchas gracias.
El señor MONTESINOS TORRES.—	 De este embrollo (2) y ahora, claro, es una medida de carácter civil. Ahora, yo pienso que deberías irte inclusive a la parte de la difamación ...
La señora VALCÁRCEL Gisela.—	 Eso decían las personas en la radio, decían que por qué Gisela no se ha ido ...
El señor MONTESINOS TORRES.—	 Claro, si te vas a la denuncia penal por difamación, entonces, claro, no lo vas a meter a él en la cárcel pero vas a sentar un precedente de que el tipo es un difamador y va a quedar un precedente en que cualquier persona que se meta contigo ya sabe lo que le corresponde, lo que le toca. O sea, una cosa es la medida cautelar, impedir la difusión del libro, de lo que yo me voy a encargar es como el juez ha sacado la cautelar y tú sabes que la única forma de que puedes controlar de que no se venda es a través de la policía, el juez emite una resolución, lo conmina a él; pero cómo tú garantizas que él no ponga en las librerías o que él no agarre y distribuya en forma privada y particular.
La señora VALCÁRCEL, Gisela.—	 Claro.
El señor MONTESINOS TORRES.—	 Agarra y dice “ven a mi casa, anda a tal sitio” y entonces empieza a vender. Cómo impides tú. Entonces,  el oficio se está mandando a la VII Región de la Policía para que haga una revisión en todas las librerías de Lima y donde vean el libro procedan a la incautación. Esto es fundamental, porque ya eso es una forma de que tú realmente te asegures de que no se haga la difusión.
La señora VALCÁRCEL, Gisela.—	 Muchas gracias.
El señor MONTESINOS TORRES.—	 Inclusive, yo sería un poquito más radical de (ininteligible) y que se le requiera bajo apercibimiento de abrírsele instrucción por resistencia a la autoridad, de que se abstenga la difusión del libro a través de cualquier medio, sea librerías, kioskos, etcétera o en forma individual, y que de ser detectado, pues, ya se le haga efectivo el apercibimiento. Entonces, ponemos a una persona que lo chequee y cuando veamos el asunto le mandamos la filmación a la Corte, presentas como prueba, el juez hace efectivo el apercibimiento y ya es un problema de él con la justicia y no contigo.
La señora VALCÁRCEL, Gisela.—	 Claro.
El señor MONTESINOS TORRES.—	 Y tú independiente de eso, como te sientes ofendida qué has hecho, has impedido la difusión; pero la ofensa no ha terminado ...
La señora VALCÁRCEL, Gisela.—	 No.
El señor MONTESINOS TORRES.—	 La ofensa ya está hecha, el daño moral ya está causado. Entonces, te vas a la difamación.
La señora VALCÁRCEL, Gisela.—	 Claro, para la vía penal.
El señor MONTESINOS TORRES.—	 Para la vía penal que no tiene que ver nada una cosa con la ...
La señora VALCÁRCEL, Gisela.—	 Sí, eso un poco era lo que, el abogado es el doctor Ghersi ...
El señor MONTESINOS TORRES.—	 Eso yo sé.
La señora VALCÁRCEL, Gisela.—	 Un poco que es lo que estábamos viendo ¿no? Entonces, bueno, vamos a ver cómo sale. Estaba (ininteligible) con esto y vamos a hablar ahora en la noche de hoy, porque ya (ininteligible) vamos a hablar para ver cuál es el siguiente ...
El señor MONTESINOS TORRES.—	 El siguiente paso es nada más el lunes presentas un escrito pidiendo al juez ...
La señora VALCÁRCEL, Gisela.—	 Ya está ya
El señor MONTESINOS TORRES.—	 No, ya te admitieron la cautelar, presentas un escrito indicando que se le requiera a él que se abstenga él de difundir a través de cualquier medio y el Juez ya ha dicho impídase la esto, pero impídase qué significa, que las librerías no lo distribuyan, pero que lo requiera a él y que él se abstenga de difundirlo bajo apercibimiento ...
La señora VALCÁRCEL, Gisela.—	 Ahora qué sucede. En caso, por ejemplo, que él va y él empieza a tomar el papel de víctima, me he amparado y empiezo a declarar esto, ¿no es contraproducente?
El señor MONTESINOS TORRES.—	 No, en absoluto porque es el juez el que te está dando la razón a ti, frente al agravio está impidiendo la publicidad y entonces él no puede decir que es atropello o abuso. Más bien el abuso lo está cometiendo contigo, tú estás reparando tu derecho y la autoridad te está dando la razón y está determinando que no puede continuar con esa extralimitación. Ahora, tú no contenta con eso el día lunes o martes preparas tu escrito y pones la denuncia por la difamación,  no te interesa a ti la reparación civil, tú la reparación civil la donas a los niños, a los huérfanos, tú  no vas por la cuestión de lucro, tú vas por la cuestión de lo que se llama la dignidad de la mujer, tu dignidad de mujer que ha sido mancillada por una persona inescrupulosa, tu no vas a la discusión si es verdad o es mentira, simplemente tu dignidad ha sido mancillada, tu dignidad ha sido discutida y tu (ininteligible) la sanción moral. ¿Entiendes?
La señora VALCÁRCEL, Gisela.—	 Sí.
El señor MONTESINOS TORRES.—	 No, porque si van a decir, no seguramente está haciendo eso porque va a buscar plata. No, no te interesa a ti el tema del dinero, lo que te interesa es la reparación del daño moral que vale más que la parte pecuniaria, lo pecuniario no te interesa, a ti lo que te interesa simplemente es tu privacidad y tu dignidad de madre.
La señora VALCÁRCEL, Gisela.—	 Yo creo que esto va a sentar un buen precedente en todos los campos.
El señor MONTESINOS TORRES.—	 Nadie va atrever a meterse con una dama, con una persona utilizando estos procedimientos; o sea, lamentablemente tu eres la primera víctima y como estás en un problema así probablemente vendrán en el futuro muchos casos así, pero tu caso servirá de ejemplo para evitar que nadie ...
La señora VALCÁRCEL, Gisela.—	 Pero le comentaba, las cosas suceden porque tienen que suceder y qué bueno que me haya sucedido a mí que soy una persona querida para la gente y que se ha sentido demasiado herida con esto que ha sucedido.
El señor MONTESINOS TORRES.—	 Claro.
La señora VALCÁRCEL, Gisela.—	 Vale decir, de repente le pasaba a otra y no cobraba tanta importancia.
El señor MONTESINOS TORRES.—	 Claro.
La señora VALCÁRCEL, Gisela.—	 Siendo un caso mío, bueno, ha cobrado importancia.
El señor CROUSILLAT CARREÑO.—	 Tremendamente cobarde.
El señor MONTESINOS TORRES.—	 Pero, claro, es un actitud ruin de una persona que no ...
La señora VALCÁRCEL, Gisela.—	 El lo tenía hacía como un año ¿ah?
El señor MONTESINOS TORRES.—	 Claro, sino que ha estado buscando una coyuntura propicia como ...
La señora VALCÁRCEL, Gisela.—	 Exacto.
El señor MONTESINOS TORRES.—	 Para poder sacar.
La señora VALCÁRCEL, Gisela.—	 Ya lo tenía.
El señor MONTESINOS TORRES.—	 Claro, porque eso no lo puede haber tenido recién.
La señora VALCÁRCEL, Gisela.—	 En ese instante (ininteligible).
El señor MONTESINOS TORRES.—	 Claro, o sea, ha visto una coyuntura personal tuya y ha aprovechado esa coyuntura personal tuya para poder golpearte y tu estás, digamos, en una situación difícil, en una situación ...
Background	—Hace su ingreso un mozo.
El señor CROSULLAT CARREÑO.—	 Yo le comentaba a Gisela que gracias a tu gestión hemos podido combatir y superar problemas tan graves como el terrorismo, delincuencia y eso creo que es algo que ...
La señora VALCÁRCEL, Gisela.—	 Ustedes siguen luchando ahora con los secuestros ...
El señor MONTESINOS TORRES.—	 No se ha terminado, pero, digamos, la dureza de la legislación ha creado una situación de temor donde cuando ellos van al penal entonces saben que si le ponen cadena perpetua el régimen penitenciario es sumamente duro, que tienen un aislamiento de un año para ver a los familiares. Entonces, hay una presión de los familiares de decir no te metas con la esposa o la concubina, con su hijo, etcétera, de ... Mira (3) lo que va a pasar: te mandan a Challapalca, te mandan a Yanamayo, durante un año no vas a tener visitas, hace tremendo frío; entonces, es discriminatorio, es un tema discriminatorio. Mira, se dio la legislación y hubo una tremenda crítica, cómo puede ser posible que pongan terrorismo agravado, qué terrorismo es ese. Pero si son bandas paramilitares, que están utilizando metodologías típicas de Sendero, tienen entre 20, 30 fulanos con metralletas, con chalecos que parecen Rambos y los policías están con una pistolita; entonces, ¿qué cosa quieren?, ¿utilizar la misma metodología ruda? Es un terrorismo agravado. Eso no puede ser delincuencia común. Delincuencia común es cuando una sola persona te asalta o te amenaza con una tuerquita o un puñal.
La señora VALCÁRCEL, Gisela.—	 (ininteligible). Además, con todas las características que ahora estamos mencionando (ininteligible).
El señor CROUSILLAT CARREÑO.—	 (Ininteligible).
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Pero lógico, hay un ensañamiento con la persona.
La señora VALCÁRCEL, Gisela.—	 Exactamente.
El señor MONTESINOS TORRES.—	 Fíjese lo que le hicieron a (ininteligible), como lo mataron al señor entre 20 fulanos en plena luz del día a las 8 de la mañana, con cinco carros lo destrozaron y eso que tenía el carro blindado y todas las cosas. Pero lamentablemente el nivel del blindaje era un nivel 3 y no aguantaba la bala, pasó una AKM, pasó por atrás, y le cayó en el pulmón.
La señora VALCÁRCEL, Gisela.—	 Pero mira los temas que estamos hablando de la calle.
El señor MONTESINOS TORRES.—	 Claro, pero acuérdate, por ejemplo, en el Hospital de Neoplásicas hay un banco que a las diez de la mañana vinieron disfrazados de policía, te pone las trancas y la gente desvía el trafico y te atacan entre 20 tipos con metralletas; entonces, dime cómo quieres que lo trate a esas personas. Yo no digo que la violencia la combata con la violencia, pero tiene que combatirse con medidas drásticas.
La señora VALCÁRCEL, Gisela.—	 Con medidas drásticas.
El señor MONTESINOS TORRES.—	 Claro, pero tiene que haber una dureza, si no ponemos mano dura entonces.
La señora VALCÁRCEL, Gisela.—	 Algunos.
El señor CROUSILLAT CARREÑO.—	 Hay países donde no se (ininteligible), ni a México tampoco.
El señor MONTESINOS TORRES.—	 Bueno, México ya no, nunca (ininteligible).
El señor CROUSILLAT CARREÑO.—	 Siempre México ha sido peligroso.
La señora VALCÁRCEL, Gisela.—	 Pero ahora mucho más.
El señor MONTESINOS TORRES.—	 Bueno, en México tú caminas en la calle.
La señora VALCÁRCEL, Gisela.—	 Por favor, (ininteligible) todos los días.
El señor MONTESINOS TORRES.—	 Y cuando sales (ininteligible) al igual que en Río de Janeiro.
El señor CROUSILLAT CARREÑO.—	 Estas comiendo en un restaurante tienes a un grupo de gente armada y te roban y te quitan todo.
El señor MONTESINOS TORRES.—	 (ininteligible) se produjo un asalto como a las once de la noche, salieron como 50, 60 personas, de repente entraron 20 tipos (ininteligible), sacaron el revolver, dos se pararon en la puerta, desvalijaron a todos los que estaban, sacaron la plata de la caja y salieron, nadie dijo nada.
El señor CROUSILLAT CARREÑO.—	 Claro, mejor no decir nada.
El señor MONTESINOS TORRES.—	 (ininteligible) ya te quedas callado.
La señora VALCÁRCEL, Gisela.—	 Pero qué pasa si muchos se quejan ahora, (ininteligible)
El señor MONTESINOS TORRES.—	 Por ejemplo, fíjate, en Buenos Aires sabes qué ha sucedió,  un fenómeno bien difícil (ininteligible). ¿Estos qué hacían? Hacían grandes esfuerzos, te cobraban 2, 3 millones de dólares de rescate, (ininteligible). Ahora, ¿cuál es la metodología? Se van a la calle (ininteligible), te secuestran al dueño o al empleado y te piden dinero, 20 mil dólares por rescate; entonces, si tú haces un prorrateo de todas las tiendas que hay por ahí, gastan cuatro, cinco, seis millones de dólares semanales.
La señora VALCÁRCEL, Gisela.—	 ¿Semanales?
El señor MONTESINOS TORRES.—	 Semanales, por imagínate, te secuestran dos, tres, cuatro veces, te secuestran al hijo, a la hija, a los empleados, a la esposa y eso obviamente no es una delincuencia común; o sea, es una mecánica de un (ininteligible) que en un momento va a evidenciarse porque está en un proceso de recolección de fondos; o sea, no te están haciendo eso como modo de.
La señora VALCÁRCEL, Gisela.—	 De ir a tu casa (ininteligible)
El señor MONTESINOS TORRES.—	 No, estamos recaudando fondos para hacer una (ininteligible).
El señor CROUSILLAT CARREÑO.—	 Me imagino que (ininteligible)
El señor MONTESINOS TORRES.—	 No, (ininteligible)
El señor CROUSILLAT CARREÑO.—	 Después salen a querer (ininteligible).
El señor MONTESINOS TORRES.—	 Te cuento, a (ininteligible), gran amigo mío, (ininteligible), estaba esa noche (ininteligible) y los de la seguridad durmiendo en el carro, (ininteligible). (Risas)
La señora VALCÁRCEL, Gisela.—	 Tan preocupado estabas tú.
El señor MONTESINOS TORRES.—	 claro, me contó y me dijo, mira, lo que me ha pasado. Y le dije ¿tú seguridad dónde estaba? Durmiendo. Cuando ha salido ni se han dado cuenta de lo que ha pasado en el (ininteligible), para que veas tú lo confiado que estaban. (Ininteligible). Ahora, tú quieres que sea desplazado hasta para América Latina todo lo que es (ininteligible). ¿Dónde tienen el centro de (ininteligible)? Aquí, en Lima. Pero no para hacer aquí en Lima, sino (ininteligible) lugar de descanso. ¿Pero qué cosa es lugar de descanso? El planeamiento de la gente que sale a Buenos Aires, Río o Sao Paulo a hacer los relajes, vienen acá, planifican las operaciones y después vienen, ejecutan y vienen para acá. Estamos trabajando estrechamente haciendo un chequeo, viendo el control de la gente que llega por los aeropuertos, que vienen por la frontera y que ingresan con entidades falsas, que no se alojan en hoteles, prefieren dormir en los parques para no  (ininteligible) o se van a la provincias, porque tú sabes que en la provincias (ininteligible).
El señor CROUSILLAT CARREÑO.—	 En provincias pagan (ininteligible).
El señor MONTESINOS TORRES.—	 No. Lo que hacían los chilenos en una época.  ¿Cómo hacían el espionaje los chilenos? Venían los chilenos y agarraban, entraban a Moquegua, a Tacna o al mismo Puno y pagaban a las mujeres para casarse; entonces, obtenían la nacionalidad y obtenían la permanencia en el territorio peruano.
La señora VALCÁRCEL, Gisela.—	 La mujer es feliz, pues, (ininteligible).
El señor MONTESINOS TORRES.—	 Te doy cinco mil dólares y te casas.
La señora VALCÁRCEL, Gisela.—	 Que asco.
El señor MONTESINOS TORRES.—	 Te doy 5 mil dólares y te casas, entonces perdone nuestra confianza, señor, porque aquí firmamos el divorcio por mutuo disenso dentro de dos meses. (4) Con esos  5 mil dólares el tipo adquiere la residencia peruana, adquiere la permanencia, no tiene problemas migratorios...
La señora VALCÁRCEL, Gisela.—	 No tiene que lavar la ropa.
El señor MONTESINOS TORRES.—	" Nada y tú te quedas con los 5 mil. Entonces, eso  hacían los chilenos, eso hacían los chilenos todos los días. No hacíamos nada, (ininteligible) llenos de espionaje. Bueno. Felizmente descubrimos esas cosas y empezamos a frenar y un poco para impedir. No hay un control, todos los días en Ecuador se pasaba la frontera antes de este lío, cuando hemos tenido el problema del 95 y ahora cuando hemos tenido el año pasado, usted sabe, diariamente por Tumbes 2 mil o 3 mil personas con salvoconducto pasaban a la parte peruana. Entonces, a las 6 de la tarde yo, pam, pam, pam, ponía en la computadora, de los 3 mil, 2 mil se quedaban y mil regresaban, y ¿dónde están los 2 mil?, llamaba a (ininteligible) ""oye, dónde están, qué empleo tienen"", nada, se nos venían hasta Piura, (ininteligible) en Lambayeque, Chiclayo, cuando el salvoconducto te permite pasar solamente a Tumbes y como nadie controlaba, migraciones en la luna, extranjería en la luna, seguridad del Estado en la luna, (ininteligible) 6 de la tarde, señor, (ininteligible) bajaban (ininteligible), ponían el candadito a (ininteligible) y los mismos (ininteligible) en la zona de Bayóvar, en todita la zona de la refinería."
El señor CROUSILLAT CARREÑO.—	 Había de todo ahí, no solamente gente de espionaje, sino también gente que quería trabajar (ininteligible).
El señor MONTESINOS TORRES.—	 No solamente eso.  El problema no está en el espionaje, sino venía gente del contrabando o gente del tráfico de drogas, gente que entraba aquí con antecedentes penales, ¿por qué?, (ininteligible) esto es una multiplicidad de hechos delictuosos que van generando un problema con (ininteligible) del Perú  (ininteligible).
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Fíjate. Se nota que te patean (ininteligible). En el aeropuerto cuántos vuelos llegan al día y cuántas personas llegan al día, tú ves que llegan miles de personas diariamente y te dejan un papelito, tú crees que van a tener la capacidad de (ininteligible) papelito, tú tienes que hacer por descarte, todos los que sean iraníes, iraquíes, pakistaníes, todos los que sean de países de conflictos, a esos tienes que (ininteligible), ahora, cómo hacemos, tenemos una oficina ahí en el aeropuerto, se les invita que pasen para darles una orientación turística, bajo el pretexto de la orientación turística consigues el pasaporte (ininteligible) vamos a orientar  (ininteligible),  acá está (ininteligible), acá les conseguimos hoteles, todo, (ininteligible) y aprovecho para estarlos filmando y tomándole fotografías sin que ellos (ininteligible).
La señora VALCÁRCEL, Gisela.—	 Es lo que pasa en otros países.
El señor MONTESINOS TORRES.—	 Eso se hace en ciertos países, en territorio americano, nos damos cuenta, por ejemplo, a los 4 meses vuelve el mismo tipo con otro nombre, con otra identidad, cuando tú chequeas (ininteligible) con otro nombre, con otra identidad.
El señor CROUSILLAT CARREÑO.—	 Ahí sí (ininteligible).
El señor MONTESINOS TORRES.—	" Obviamente, porque están en delito, simplemente uno lo que hace es agarrarlo (ininteligible) ""oiga usted y por qué (ininteligible) nunca ha venido jamás, sacas el pasaporte, la huella en el pasaporte y le muestras, señor, usted vino tal fecha, acá está el vídeo así que simplemente en el  primer avión para afuera. "
El señor CROUSILLAT CARREÑO.—	 Eso es lo que se hace.
El señor MONTESINOS TORRES.—	 Claro, para qué se va a hacer el procedimiento de seguimiento.
El señor CROUSILLAT CARREÑO.—	 (Ininteligible) uno más a la cárcel.
El señor MONTESINOS TORRES.—	 No, vamos a gastar en el manteniendo de un fulano así (ininteligible) es un potencial (ininteligible).
El señor CROUSILLAT CARREÑO.—	 Y ha habido muchos casos de gente que (ininteligible).
El señor MONTESINOS TORRES.—	 Uhhh.  Todos los días.
El señor CROUSILLAT CARREÑO.—	 Todos los días.
El señor MONTESINOS TORRES.—	 Todos los días, por ejemplo, tengo un grupo ahí (ininteligible) qué puede hacer el MRTA o qué puede hacer cualquier organización (ininteligible) tomarnos un avión (ininteligible) imagínate un avión que llega o un avión que despega (ininteligible) o que nos pongan una bomba en el avión y si no acceden a tales requerimientos vuelan el avión con pasajeros.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Por supuesto, claro que sí.
El señor CROUSILLAT CARREÑO.—	 Te cuento que en la embajada de Japón (ininteligible).
El señor MONTESINOS TORRES.—	 Entonces, no podemos estar nosotros cruzados de brazo y no pensando en hipótesis de cosas que podrían pasar y que hay que prever, porque la inteligencia está en acción, lo peor que tú puedes hacer es la inanición, la indiferencia o estar con lo sucedido y eso no es; tomas la medida de seguridad.  Entonces, ¿qué pasa?,  yo tengo en el aeropuerto las 24 horas del día gente ahí que están haciendo labores de CORPAC y de cosas, un equipo de respuestas rápidas, solución del problema, ellos intervienen en los 10 primeros minutos y a los 20 minutos saco los helicópteros a la calle y llegan allá en 10 minutos al aeropuerto.  Pero tienes tú la reacción (ininteligible). Pero lógico, gente entrenada, equipadas, sabe cómo actuar, conoces el aeropuerto de memoria.
El señor CROUSILLAT CARREÑO.—	 Y hay experiencia.
El señor MONTESINOS TORRES.—	 Hay experiencia en el asunto, no, entonces, (ininteligible). Imagínate que el MRTA iba a tomar el Congreso de la República.
El señor CROUSILLAT CARREÑO.—	 Tenían todo planeado.
El señor MONTESINOS TORRES.—	 Tenían todo anotado, acuérdate que la Lori Berenson (ininteligible) del Congreso de la República (ininteligible) y a toda esta gente (ininteligible) Rincón nos hubiera (ininteligible), yo me acuerdo que esa noche cuando (ininteligible).
El señor CROUSILLAT CARREÑO.—	 (Ininteligible) o el Congreso.
El señor MONTESINOS TORRES.—	 No, el Congreso de la República.  Si la Nancy Gilvonio, la mujer de Cerpa Cartolini con la Lori Berenson fueron las 2 mujeres que ingresaron al Congreso e hicieron el reglaje en el Congreso, so pretexto, como la Lori Berenson era gringa, pasaba como periodista y la Nancy Gilvonio aparecía como su ayudante, su secretaria peruana que le facilitaba el ingreso.  Entonces, iban, habían entrevistado a Lourdes Flores, después habían entrevistado a.
La señora VALCÁRCEL, Gisela.—	 Seguramente a Xavier Barrón.
El señor MONTESINOS TORRES.—	 Bueno, a Xavier Barrón lo entrevistan...
El señor CROUSILLAT CARREÑO.—	 (Ininteligible) y viene corriendo.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 Viene corriendo. Bueno. Y, entonces, de esa forma iban haciendo la reconstrucción y tenían un arquitecto que les iba haciendo el diseño y el plano.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	" Iba dibujando, hicieron una maqueta del Congreso y tenían todo listo para tomarlo. Felizmente que esa noche los descubrimos en una casa en La Molina, se hizo la intervención, ahí estaba el General Domínguez —me acuerdo— el Jefe de la DINCOTE, me dijo: ""Ya los agarramos, los encontramos"". Estaban con lanzacohetes, imagínate, estaban con lanzacohetes esa noche. Todo el grupo."
El señor CROUSILLAT CARREÑO.—	 Ahí estaban juntos.
El señor MONTESINOS TORRES.—	" Estaban juntos. Cuando se descubrieron en la casa empezaron a mandar los misiles de lanzacohetes, me llama Domínguez: ""Oye, están usando lanzacohetes, estamos asustados, ¿qué hago?, manda la división blindada"", me dijo, la división blindada, mientras llamo a la Segunda Región Militar, mientras (ininteligible) pasa 2 horas, ya las tanquetas sacamos, las mandé allá, llegó la tanqueta y les dije manden 5 disparos de balas de ametralladora 5 minutos. No, no, no, nos rendimos, negociamos. (Risas.)"
La señora VALCÁRCEL, Gisela.—	 ¿Por qué (ininteligible)?
El señor MONTESINOS TORRES.—	 Es porque la inteligencia es una; la trabajamos nosotros en este nivel, te voy a dar una explicación; el político habla a la luz, los hombres como yo que trabajamos (5) en el servicio secreto no salimos a la luz. Nuestro trabajo es el (ininteligible).
La señora VARCÁRCEL, Gisela.—	 Pero en muchos casos no. Yo te hablo, mi mamá es una observadora de las que va a comprar el periódico, se para en puestos diferentes; entonces, escucha lo que dicen. Cuando pasan muchas cosas uno en qué piensa y muchas otras gentes (ininteligible) pueden dar fe, incluso lo han dicho. No sabes todo lo que ellos planearon, los que nos pudo haber pasado.
El señor MONTESINOS TORRES.—	 Claro. Fíjate, mira, tienes tú el tema del Congreso, ahora tienes tú el tema de la embajada, la toma de la embajada, ¿cuántas personas pudieron morir en la embajada? Esa noche me acuerdo que eran como 800 personas que estaban detenidas.
La señora VARCÁRCEL, Gisela.—	 Uno de ellos era Fernando Andrade que no quedó muy bien.
El señor MONTESINOS TORRES.—	 Claro, que se mandó mudar. Se mandó a mudar por el baño, esas cosas, pero hubieron como 800 personas que llegaron esa noche. Yo me acuerdo. Aquí, aquí...
El señor CROUSILLAT CARREÑO.—	 Yo me quito. Por favor, dejen a las mujeres. (Risas.)
El señor MONTESINOS TORRES.—	 Claro, como un cobarde se escapó.
La señora VARCÁRCEL, Gisela.—	 Usted no puede hacer eso.
El señor MONTESINOS TORRES.—	 Así es. Mira, esa noche cuando pasó el problema, y eso que te conté a ti, nosotros 30 días antes de pasar el problema yo le advertí por escrito a Ketín Vidal, de veras, ahí tengo el documento, de haber dicho va a pasar en el mes de diciembre una toma de la Embajada de Japón, adopte las previsiones, tome las medidas de seguridad, que el MRTA va a ser una captura importante para hacer el canje, fundamentalmente con Nancy Gilvonio. Porque la Nancy Gilvonio maneja bien las cuentas secretas, el dinero que tiene el MRTA en Europa. Entonces, necesitaban llevársela a ella para hacer el financiamiento. Un mes antes le mandamos a Ketín Vidal. Ketín Vidal recibió el documento y no mandó previsiones, porque la Inteligencia no opera, la Inteligencia...
El señor CROUSILLAT CARREÑO.—	 ¿Cuál era el día clave para hacer lo de la Embajada del Japón?
El señor MONTESINOS TORRES.—	 Le informamos con 30 días de anticipación. ¿Ketín Vidal qué hizo? Recibió el documento y lo decretó a la VII Región que era el general Malásquez. Le dijo: pongo a su conocimiento, adopte usted las providencias. ¿Qué hizo el general Malásquez? Agarró y lo decretó a la Comisaría de Lince. El comisario de Lince lo mandó al sargento. Total, el día de la embajada había solamente un patrullero con dos guardias viejitos que estaban ahí cuidando, que se les paseaba el alma. Entonces, ¿esto que significa? Negligencia. ¿Qué significa? El jefe de la Dincote alertado de invitado, el jefe de Seguridad del Estado invitado, el jefe de la VII Región invitado. 17 generales de la Policía que tenían conocimiento invitados, en lugar de estar cuidando afuera, invitados. Y el Director General...
El señor CROUSILLAT CARREÑO.—	 Todos.
El señor MONTESINOS TORRES.—	 ...y el Director General de la Policía que estaba enterado de la situación no controló. O sea, no solamente la orden es el 10, el 90% es el control. Si tú no controlas, tú puedes dar 20 mil órdenes, sino en tu trabajo has esto, has lo otro, pero si tú no estas chequeando, verificando.
El señor CROUSILLAT CARREÑO.—	 Tú lo sabes de memoria, sino estás encima no pasa nada.
La señora VARCÁRCEL, Gisela.—	 Nada.
El señor MONTESINOS TORRES.—	 No pasa nada. Entonces, ¿la negligencia de dónde partía? Del que comandaba la institución y no adoptó las providencias para que no pasara nada. Y sucedió el acto, y sucedió el hecho. Por eso tuvo que renunciar el general (ininteligible) que estaba (ininteligible) por esta noche. Decirte que aquí, en esta sala, nos juntamos los tres. Llegó el Presidente acá, se sentó el Presidente ahí, yo me senté donde estás tú, el general Hermoza estuvo acá. Bueno, entonces, ¿qué hacemos, estamos en  una situación difícil? ¿Y qué hacemos? Estábamos los tres, nos quedamos acá, le dije: Presidente, estamos en una situación de crisis y ante esta situación de crisis nos constituimos los tres en comité de crisis, manejamos la crisis. Y el manejo de la crisis significa que usted como estadista tiene que tomar usted dos decisiones. La primera, la decisión política. ¿Qué es lo que usted está buscando? ¿Cuál es el objetivo? Bueno, el objetivo, me dice ¿cuál sería para usted el objetivo? El rescate de los rehenes. Bueno, si es el objetivo el rescate de los rehenes, muy bien. ¿Cómo vamos a lograr ese objetivo? Tenemos dos vías: la pacífica y la violenta, pero normalmente en este tipo de problemas nosotros tenemos que establecer tres variables. La primera, entablar conversaciones para ganar tiempo y hacerles creer que vamos a entrar a la vía de... La segunda, amplia libertad a los medios de comunicación, porque ellos viven de la publicidad y mientras más publicidad le demos más nos vamos a beneficiar. Y el tercero, tenemos que preparar la intervención militar, porque al final eso es lo único que nos va a rendir.
La señora VARCÁRCEL, Gisela.—	 (ininteligible)
El señor MONTESINOS TORRES.—	 Entonces, me dice, bueno, señores, mi decisión, objetivo uno, general Hermoza, prepare usted la fuerza de intervención; usted es el responsable de darle la información a las fuerzas de intervención y usted nos proporcionará información para la negociación o la conversación. Muy bien. Entonces, Hermoza me dice: a ver, llena la información para formar una fuerza de comando. En ese momento yo qué hacía esta noche. Mandé a la Municipalidad de San Isidro para buscar el plano de la embajada, en el catastro, porque yo en mi vida había entrado, yo en mi vida había ido a la embajada ni tenía idea cómo era la embajada. Entonces, era verdad, en el catastro no había el plano de la embajada. No, no había en el catastro. Los japoneses por seguridad. Pero sí felizmente teníamos en el expediente quien había sido el anterior propietario. Así que a las cuatro de la mañana fui y le toqué la puerta y le dije: señor, disculpe usted que le toque la puerta a esta hora. Me dijo: ¿qué pasa? Pero como me vio a mí me dijo, ¿qué hace parado en mi casa?, ¿qué sucede? No, señor, disculpe. Yo le pido mil perdones de que sea tan imprudente, pero ha pasado esto. Sí ya sé. Le dije: ¿Usted ha sido uno de los dueños? Sí he sido. ¿Usted no tiene los planos? Sí.
La señora VARCÁRCEL, Gisela.—	 ¿Tenía?
El señor MONTESINOS TORRES.—	 Me hizo pasar a su casa y nos quedamos hasta las 6 mañana. Yo personalmente hablé con el señor, y cuando vio el asunto me mostró los planos y le dije: ¿me los puede usted prestar? Por supuesto, me dijo, llévelos. Vine acá, en la mañana, fuimos a la sala de operaciones, nos sentamos con los planos y empezamos a reconstruir. Y ahí cuando empece la construcción del primer túnel, un primer túnel que era chiquito. Empezamos el día 18 y se terminó el 28 de diciembre. ¿Por qué me acuerdo el 28? Porque es el aniversario del cumpleaños de mi mamá. Entonces, dije, el 28, en homenaje a mi santa madre, tiene que estar terminado el primer túnel. Así que terminamos, avanza, avanza la construcción. Yo a ese túnel le puse el “Túnel de la Inteligencia” porque este túnel me permitió hacer...
La señora VARCÁRCEL, Gisela.—	 Todo lo demás.
El señor MONTESINOS TORRES.—	 Y así empezamos. Ahora, imagínate, después de eso empezamos a hacer los otros túneles. Los mineros cuando vinieron...
El señor CROUSILLAT CARREÑO.—	 El pobre curita que (ininteligible) (Risas.)
